자치구,동,구분,계,0~19세,20~39세,40~59세,60~79세,80세 이상
종로구,사직동,계,"9,630",1250,2731,3133,1950,566
종로구,사직동,한국인,"9,370",1233,2642,3007,1925,563
종로구,사직동,외국인,260,17,89,126,25,3
종로구,삼청동,계,"2,741",345,678,833,703,182
종로구,삼청동,한국인,"2,441",265,622,724,650,180
종로구,삼청동,외국인,300,80,56,109,53,2
종로구,부암동,계,"9,702",1328,2563,3256,2073,482
종로구,부암동,한국인,"9,488",1326,2399,3216,2065,482
종로구,부암동,외국인,214,2,164,40,8,0
종로구,평창동,계,"18,272",2724,"4,522","6,020",4046,960
종로구,평창동,한국인,"18,087",2712,"4,471","5,935",4012,957
종로구,평창동,외국인,185,12,51,85,34,3
종로구,무악동,계,"8,245",1600,1772,2829,1652,392
종로구,무악동,한국인,"8,210",1597,1758,2812,1651,392
종로구,무악동,외국인,35,3,14,17,1,0
종로구,교남동,계,"10,148",1627,2793,3410,1923,395
종로구,교남동,한국인,"9,989",1601,2737,3352,1906,393
종로구,교남동,외국인,159,26,56,58,17,2
종로구,가회동,계,"4,152",494,1043,1416,966,233
종로구,가회동,한국인,"4,045",477,1014,1370,951,233
종로구,가회동,외국인,107,17,29,46,15,0
종로구,종로1.2.3.4가동,계,"8,867",700,2541,2837,2310,479
종로구,종로1.2.3.4가동,한국인,"7,225",402,1927,2216,2205,475
종로구,종로1.2.3.4가동,외국인,"1,642",298,614,621,105,4
종로구,종로5.6가동,계,"5,464",309,2160,1490,1252,253
종로구,종로5.6가동,한국인,"5,080",294,1879,1421,1234,252
종로구,종로5.6가동,외국인,384,15,281,69,18,1
종로구,이화동,계,"7,697",581,3240,2005,1513,358
종로구,이화동,한국인,"7,226",563,2835,1963,1507,358
종로구,이화동,외국인,471,18,405,42,6,0
종로구,창신1동,계,"5,640",364,1640,1757,1599,280
종로구,창신1동,한국인,"4,908",332,1190,1556,1551,279
종로구,창신1동,외국인,732,32,450,201,48,1
종로구,창신2동,계,"8,984",645,2698,2976,2286,379
종로구,창신2동,한국인,"7,866",609,1994,2705,2184,374
종로구,창신2동,외국인,"1,118",36,704,271,102,5
종로구,창신3동,계,"6,668",827,1878,2138,1536,289
종로구,창신3동,한국인,"6,513",812,1782,2099,1532,288
종로구,창신3동,외국인,155,15,96,39,4,1
종로구,숭인1동,계,"6,126",590,1710,2094,1450,282
종로구,숭인1동,한국인,"5,843",576,1555,1999,1431,282
종로구,숭인1동,외국인,283,14,155,95,19,0
종로구,숭인2동,계,"10,266",613,4283,2897,2124,349
종로구,숭인2동,한국인,"9,697",593,3872,2786,2097,349
종로구,숭인2동,외국인,569,20,411,111,27,0
종로구,청운효자동,계,"12,100",1889,3138,4077,2387,609
종로구,청운효자동,한국인,"11,904",1863,3085,3991,2358,607
종로구,청운효자동,외국인,196,26,53,86,29,2
종로구,혜화동,계,"18,982",2020,8780,"4,515",2861,806
종로구,혜화동,한국인,"16,383",1948,6341,"4,446",2843,805
종로구,혜화동,외국인,"2,599",72,2439,69,18,1
중구,소공동,계,"3,423",536,1105,1279,449,54
중구,소공동,한국인,"2,252",294,761,808,342,47
중구,소공동,외국인,"1,171",242,344,471,107,7
중구,회현동,계,"5,394",488,1172,1763,1663,308
중구,회현동,한국인,"4,742",391,1003,1509,1542,297
중구,회현동,외국인,652,97,169,254,121,11
중구,명동,계,"3,726",303,1198,1155,895,175
중구,명동,한국인,"2,849",219,751,886,822,171
중구,명동,외국인,877,84,447,269,73,4
중구,필동,계,"4,630",392,1891,1102,980,265
중구,필동,한국인,"4,043",375,1397,1045,963,263
중구,필동,외국인,587,17,494,57,17,2
중구,장충동,계,"5,301",496,2370,1266,938,231
중구,장충동,한국인,"4,608",448,1857,1171,903,229
중구,장충동,외국인,693,48,513,95,35,2
중구,광희동,계,"6,326",382,2623,1654,1432,235
중구,광희동,한국인,"5,244",304,1959,1399,1352,230
중구,광희동,외국인,"1,082",78,664,255,80,5
중구,을지로동,계,"1,932",75,685,496,579,97
중구,을지로동,한국인,"1,746",71,556,458,566,95
중구,을지로동,외국인,186,4,129,38,13,2
중구,신당5동,계,"10,640",1069,3476,3465,2201,429
중구,신당5동,한국인,"10,303",1051,3292,3372,2160,428
중구,신당5동,외국인,337,18,184,93,41,1
중구,황학동,계,"13,481",1273,"5,397",3866,2516,429
중구,황학동,한국인,"12,623",1182,"4,970",3612,2434,425
중구,황학동,외국인,858,91,427,254,82,4
중구,중림동,계,"12,283",1724,"3,551",4006,2509,493
중구,중림동,한국인,"11,964",1687,"3,407",3900,2480,490
중구,중림동,외국인,319,37,144,106,29,3
중구,신당동,계,"9,116",603,3624,2696,1852,341
중구,신당동,한국인,"7,698",533,2718,2368,1739,340
중구,신당동,외국인,"1,418",70,906,328,113,1
중구,다산동,계,"14,193",1289,"4,720","4,226",3281,677
중구,다산동,한국인,"13,723",1246,4458,"4,098",3244,677
중구,다산동,외국인,470,43,262,128,37,0
중구,약수동,계,"16,847",1933,"4,361","5,204",4317,1032
중구,약수동,한국인,"16,638",1898,"4,296","5,122",4293,1029
중구,약수동,외국인,209,35,65,82,24,3
중구,청구동,계,"13,769",1547,"4,083","4,177",3215,747
중구,청구동,한국인,"13,521",1519,3953,"4,095",3208,746
중구,청구동,외국인,248,28,130,82,7,1
중구,동화동,계,"10,389",1451,2685,3419,2305,529
중구,동화동,한국인,"10,219",1432,2600,3373,2286,528
중구,동화동,외국인,170,19,85,46,19,1
용산구,후암동,계,"17,220",2056,"5,291","5,480",3632,761
용산구,후암동,한국인,"16,765",2005,"5,147","5,292",3567,754
용산구,후암동,외국인,455,51,144,188,65,7
용산구,용산2가동,계,"10,779",948,3885,3055,2347,544
용산구,용산2가동,한국인,"9,399",785,3135,2659,2280,540
용산구,용산2가동,외국인,"1,380",163,750,396,67,4
용산구,남영동,계,"7,811",459,2213,2730,2069,340
용산구,남영동,한국인,"7,351",422,1984,2585,2023,337
용산구,남영동,외국인,460,37,229,145,46,3
용산구,원효로2동,계,"13,839",1965,"4,091","4,425",2766,592
용산구,원효로2동,한국인,"13,719",1954,"4,040","4,376",2758,591
용산구,원효로2동,외국인,120,11,51,49,8,1
용산구,효창동,계,"10,179",1453,3407,3152,1769,398
용산구,효창동,한국인,"10,059",1444,3334,3118,1766,397
용산구,효창동,외국인,120,9,73,34,3,1
용산구,용문동,계,"11,932",1418,3736,3717,2563,498
용산구,용문동,한국인,"11,818",1406,3697,3662,2557,496
용산구,용문동,외국인,114,12,39,55,6,2
용산구,이촌1동,계,"26,447","5,295","5,942","9,073",4695,1442
용산구,이촌1동,한국인,"25,750","5,112","5,805","8,784",4612,1437
용산구,이촌1동,외국인,697,183,137,289,83,5
용산구,이촌2동,계,"8,310",1008,2184,2574,2094,450
용산구,이촌2동,한국인,"8,242",995,2169,2548,2080,450
용산구,이촌2동,외국인,68,13,15,26,14,0
용산구,이태원1동,계,"8,068",706,3017,2334,1620,391
용산구,이태원1동,한국인,"6,332",474,2142,1801,1530,385
용산구,이태원1동,외국인,"1,736",232,875,533,90,6
용산구,이태원2동,계,"10,576",1111,"3,714",3162,2064,525
용산구,이태원2동,한국인,"8,947",846,3005,2610,1965,521
용산구,이태원2동,외국인,"1,629",265,709,552,99,4
용산구,서빙고동,계,"13,879",2428,3365,"4,990",2381,715
용산구,서빙고동,한국인,"12,997",2198,3156,4631,2302,710
용산구,서빙고동,외국인,882,230,209,359,79,5
용산구,보광동,계,"14,610",1266,"4,723","4,718",3235,668
용산구,보광동,한국인,"13,337",1095,4113,"4,292",3171,666
용산구,보광동,외국인,"1,273",171,610,426,64,2
용산구,청파동,계,"20,081",1721,"7,848","5,743",3951,818
용산구,청파동,한국인,"19,459",1691,"7,456","5,603",3893,816
용산구,청파동,외국인,622,30,392,140,58,2
용산구,원효로1동,계,"16,618",2253,"6,311","5,049",2574,431
용산구,원효로1동,한국인,"16,003",2142,"6,073","4,837",2523,428
용산구,원효로1동,외국인,615,111,238,212,51,3
용산구,한강로동,계,"23,286",2639,"8,790","6,926",4108,823
용산구,한강로동,한국인,"21,662",2238,"8,408","6,268",3931,817
용산구,한강로동,외국인,"1,624",401,382,658,177,6
용산구,한남동,계,"22,883",2756,"7,215","7,419",4548,945
용산구,한남동,한국인,"20,329",2236,"6,373","6,415",4366,939
용산구,한남동,외국인,"2,554",520,842,1004,182,6
성동구,왕십리2동,계,"16,730",2284,"5,360","5,255",3288,543
성동구,왕십리2동,한국인,"16,397",2264,"5,177","5,141",3272,543
성동구,왕십리2동,외국인,333,20,183,114,16,0
성동구,마장동,계,"22,975",2738,"7,809","6,581",4937,910
성동구,마장동,한국인,"22,375",2689,"7,452","6,421",4903,910
성동구,마장동,외국인,600,49,357,160,34,0
성동구,사근동,계,"13,627",1311,7782,2450,1703,381
성동구,사근동,한국인,"12,062",1267,6323,2402,1690,380
성동구,사근동,외국인,"1,565",44,1459,48,13,1
성동구,행당1동,계,"14,238",1963,"4,700","4,384",2687,504
성동구,행당1동,한국인,"13,923",1950,"4,479","4,322",2669,503
성동구,행당1동,외국인,315,13,221,62,18,1
성동구,행당2동,계,"23,273","3,675","6,297","7,738",4679,884
성동구,행당2동,한국인,"23,180","3,670","6,257","7,700",4671,882
성동구,행당2동,외국인,93,5,40,38,8,2
성동구,응봉동,계,"15,348",2681,"3,829","5,286",2910,642
성동구,응봉동,한국인,"15,299",2678,"3,813","5,258",2908,642
성동구,응봉동,외국인,49,3,16,28,2,0
성동구,금호1가동,계,"15,196",2258,"4,132","4,910",3289,607
성동구,금호1가동,한국인,"15,119",2254,"4,100","4,882",3276,607
성동구,금호1가동,외국인,77,4,32,28,13,0
성동구,금호4가동,계,"14,419",2218,"3,986",4710,2972,533
성동구,금호4가동,한국인,"14,293",2213,"3,927",4666,2955,532
성동구,금호4가동,외국인,126,5,59,44,17,1
성동구,성수1가1동,계,"16,792",2070,"5,500","5,450",3309,463
성동구,성수1가1동,한국인,"16,493",2042,"5,357","5,347",3286,461
성동구,성수1가1동,외국인,299,28,143,103,23,2
성동구,성수1가2동,계,"12,686",1509,"4,314",3890,2582,391
성동구,성수1가2동,한국인,"12,471",1490,"4,202",3831,2558,390
성동구,성수1가2동,외국인,215,19,112,59,24,1
성동구,성수2가1동,계,"16,138",1562,"4,742","5,186",4069,579
성동구,성수2가1동,한국인,"15,675",1536,"4,599","4,977",3985,578
성동구,성수2가1동,외국인,463,26,143,209,84,1
성동구,성수2가3동,계,"10,926",1046,3840,3222,2380,438
성동구,성수2가3동,한국인,"10,707",1035,3742,3140,2352,438
성동구,성수2가3동,외국인,219,11,98,82,28,0
성동구,송정동,계,"10,854",1031,3445,3494,2516,368
성동구,송정동,한국인,"10,479",1013,3267,3363,2469,367
성동구,송정동,외국인,375,18,178,131,47,1
성동구,용답동,계,"12,474",980,4522,"3,825",2662,485
성동구,용답동,한국인,"11,568",921,3987,"3,590",2587,483
성동구,용답동,외국인,906,59,535,235,75,2
성동구,왕십리도선동,계,"26,959",3816,"8,950","8,488",4783,922
성동구,왕십리도선동,한국인,"26,491",3779,"8,681","8,359",4752,920
성동구,왕십리도선동,외국인,468,37,269,129,31,2
성동구,금호2.3가동,계,"22,801",3053,"6,760","7,347",4747,894
성동구,금호2.3가동,한국인,"22,631",3042,"6,681","7,283",4731,894
성동구,금호2.3가동,외국인,170,11,79,64,16,0
성동구,옥수동,계,"26,173",4163,"7,503","8,378",5195,934
성동구,옥수동,한국인,"25,910",4123,"7,402","8,286",5169,930
성동구,옥수동,외국인,263,40,101,92,26,4
광진구,화양동,계,"26,567",1245,"17,606",4412,2792,512
광진구,화양동,한국인,"23,687",1146,"15,093",4209,2729,510
광진구,화양동,외국인,"2,880",99,2513,203,63,2
광진구,군자동,계,"21,341",1868,"9,543","5,420",3867,643
광진구,군자동,한국인,"19,529",1757,"8,050","5,258",3822,642
광진구,군자동,외국인,"1,812",111,1493,162,45,1
광진구,중곡1동,계,"15,761",1411,"5,890","4,626",3333,501
광진구,중곡1동,한국인,"15,401",1380,"5,741","4,484",3298,498
광진구,중곡1동,외국인,360,31,149,142,35,3
광진구,중곡2동,계,"21,650",2372,"7,657","6,525",4449,647
광진구,중곡2동,한국인,"21,334",2332,"7,512","6,422",4421,647
광진구,중곡2동,외국인,316,40,145,103,28,0
광진구,중곡3동,계,"16,301",1551,"5,347","5,057",3753,593
광진구,중곡3동,한국인,"16,071",1525,"5,251","4,975",3727,593
광진구,중곡3동,외국인,230,26,96,82,26,0
광진구,중곡4동,계,"28,806","3,106","8,511","9,232",6960,997
광진구,중곡4동,한국인,"28,442","3,035","8,350","9,119",6942,996
광진구,중곡4동,외국인,364,71,161,113,18,1
광진구,능동,계,"11,602",1051,"5,020",3127,2028,376
광진구,능동,한국인,"11,285",1010,"4,831",3061,2008,375
광진구,능동,외국인,317,41,189,66,20,1
광진구,구의1동,계,"23,481",2176,"9,594","6,841",4176,694
광진구,구의1동,한국인,"22,899",2104,"9,377","6,622",4103,693
광진구,구의1동,외국인,582,72,217,219,73,1
광진구,구의2동,계,"26,891","3,991","7,485","8,914",5591,910
광진구,구의2동,한국인,"26,423","3,877","7,296","8,778",5565,907
광진구,구의2동,외국인,468,114,189,136,26,3
광진구,구의3동,계,"28,756","4,178","9,012","9,231",5419,916
광진구,구의3동,한국인,"28,523","4,155","8,912","9,138",5402,916
광진구,구의3동,외국인,233,23,100,93,17,0
광진구,광장동,계,"34,719","8,351","7,542","13,097",4706,1023
광진구,광장동,한국인,"34,545","8,313","7,476","13,043",4691,1022
광진구,광장동,외국인,174,38,66,54,15,1
광진구,자양1동,계,"23,019",2376,"8,171","7,134",4565,773
광진구,자양1동,한국인,"22,183",2318,"7,869","6,771",4458,767
광진구,자양1동,외국인,836,58,302,363,107,6
광진구,자양2동,계,"24,768",3217,"7,352","7,983",5472,744
광진구,자양2동,한국인,"24,469",3181,"7,251","7,853",5440,744
광진구,자양2동,외국인,299,36,101,130,32,0
광진구,자양3동,계,"28,172","4,680","7,818","9,213",5396,1065
광진구,자양3동,한국인,"27,909","4,655","7,716","9,121",5354,1063
광진구,자양3동,외국인,263,25,102,92,42,2
광진구,자양4동,계,"21,276",1706,"7,123","6,638",5063,746
광진구,자양4동,한국인,"18,007",1495,"5,773","5,343",4658,738
광진구,자양4동,외국인,"3,269",211,1350,1295,405,8
동대문구,회기동,계,"12,924",1139,7116,2547,1670,452
동대문구,회기동,한국인,"10,581",1078,4915,2478,1659,451
동대문구,회기동,외국인,"2,343",61,2201,69,11,1
동대문구,휘경1동,계,"16,110",1664,"7,782",3673,2500,491
동대문구,휘경1동,한국인,"14,009",1602,"5,823",3611,2484,489
동대문구,휘경1동,외국인,"2,101",62,1959,62,16,2
동대문구,휘경2동,계,"24,857","3,223","8,961","6,949",4848,876
동대문구,휘경2동,한국인,"24,150","3,197","8,370","6,886",4822,875
동대문구,휘경2동,외국인,707,26,591,63,26,1
동대문구,청량리동,계,"19,216",1740,"4,409","5,669","6,175",1223
동대문구,청량리동,한국인,"18,761",1721,"4,199","5,507","6,117",1217
동대문구,청량리동,외국인,455,19,210,162,58,6
동대문구,용신동,계,"33,984",2919,"13,240","9,416","7,056",1353
동대문구,용신동,한국인,"32,540",2849,"12,336","9,072","6,935",1348
동대문구,용신동,외국인,"1,444",70,904,344,121,5
동대문구,제기동,계,"26,598",2412,"9,332","6,875","6,583",1396
동대문구,제기동,한국인,"24,650",2323,"7,728","6,677","6,527",1395
동대문구,제기동,외국인,"1,948",89,1604,198,56,1
동대문구,전농1동,계,"29,553","3,599","8,720","9,108","6,824",1302
동대문구,전농1동,한국인,"29,059","3,557","8,456","8,963","6,785",1298
동대문구,전농1동,외국인,494,42,264,145,39,4
동대문구,전농2동,계,"18,747",2788,"4,516","6,150",4398,895
동대문구,전농2동,한국인,"18,437",2774,"4,281","6,099",4388,895
동대문구,전농2동,외국인,310,14,235,51,10,0
동대문구,답십리2동,계,"28,376",3609,"7,849","8,881","6,803",1234
동대문구,답십리2동,한국인,"28,123",3592,"7,724","8,790","6,784",1233
동대문구,답십리2동,외국인,253,17,125,91,19,1
동대문구,장안1동,계,"38,712","4,945","11,621","12,361","8,567",1218
동대문구,장안1동,한국인,"38,158","4,892","11,379","12,153","8,520",1214
동대문구,장안1동,외국인,554,53,242,208,47,4
동대문구,장안2동,계,"32,761","5,484","8,776","10,755","6,781",965
동대문구,장안2동,한국인,"32,461","5,461","8,635","10,637","6,763",965
동대문구,장안2동,외국인,300,23,141,118,18,0
동대문구,이문1동,계,"21,054",2023,"9,631","4,983",3577,840
동대문구,이문1동,한국인,"18,156",1924,7078,"4,778",3539,837
동대문구,이문1동,외국인,"2,898",99,2553,205,38,3
동대문구,이문2동,계,"20,364",2897,"5,453","6,466",4662,886
동대문구,이문2동,한국인,"19,941",2861,"5,191","6,364",4641,884
동대문구,이문2동,외국인,423,36,262,102,21,2
동대문구,답십리1동,계,"29,336",4655,"9,346","9,136",5256,943
동대문구,답십리1동,한국인,"28,956",4609,"9,157","9,021",5227,942
동대문구,답십리1동,외국인,380,46,189,115,29,1
중랑구,면목2동,계,"24,449",2601,"6,673","8,280",5948,947
중랑구,면목2동,한국인,"24,095",2560,"6,497","8,173",5918,947
중랑구,면목2동,외국인,354,41,176,107,30,0
중랑구,면목4동,계,"19,215",2209,"5,180","6,238",4852,736
중랑구,면목4동,한국인,"18,938",2176,"5,049","6,147",4831,735
중랑구,면목4동,외국인,277,33,131,91,21,1
중랑구,면목5동,계,"14,959",2262,"4,437","4,813",3025,422
중랑구,면목5동,한국인,"14,843",2252,"4,385","4,771",3013,422
중랑구,면목5동,외국인,116,10,52,42,12,0
중랑구,면목7동,계,"22,027",2305,"6,307","6,954",5637,824
중랑구,면목7동,한국인,"21,713",2269,"6,167","6,839",5615,823
중랑구,면목7동,외국인,314,36,140,115,22,1
중랑구,상봉1동,계,"24,017",3474,"6,895","7,640",5172,836
중랑구,상봉1동,한국인,"23,877",3461,"6,821","7,595",5164,836
중랑구,상봉1동,외국인,140,13,74,45,8,0
중랑구,상봉2동,계,"20,558",1485,"8,851","5,659",3957,606
중랑구,상봉2동,한국인,"20,250",1455,"8,697","5,551",3941,606
중랑구,상봉2동,외국인,308,30,154,108,16,0
중랑구,중화1동,계,"19,669",2336,"5,920","5,891",4843,679
중랑구,중화1동,한국인,"19,495",2322,"5,832","5,836",4826,679
중랑구,중화1동,외국인,174,14,88,55,17,0
중랑구,중화2동,계,"25,280",2121,"7,475","8,087",6516,1081
중랑구,중화2동,한국인,"24,829",2093,"7,284","7,915",6459,1078
중랑구,중화2동,외국인,451,28,191,172,57,3
중랑구,묵1동,계,"34,602","5,048","9,657","11,121","7,531",1245
중랑구,묵1동,한국인,"34,403","5,035","9,548","11,055","7,520",1245
중랑구,묵1동,외국인,199,13,109,66,11,0
중랑구,묵2동,계,"18,841",2056,"5,485","6,010",4583,707
중랑구,묵2동,한국인,"18,621",2034,"5,380","5,943",4557,707
중랑구,묵2동,외국인,220,22,105,67,26,0
중랑구,망우3동,계,"16,539",1738,4267,"5,417",4408,709
중랑구,망우3동,한국인,"16,210",1661,4091,"5,350",4399,709
중랑구,망우3동,외국인,329,77,176,67,9,0
중랑구,신내1동,계,"38,522","6,551","9,431","12,178","8,804",1558
중랑구,신내1동,한국인,"38,381","6,541","9,362","12,128","8,792",1558
중랑구,신내1동,외국인,141,10,69,50,12,0
중랑구,신내2동,계,"20,311",2744,"5,132","6,448",5049,938
중랑구,신내2동,한국인,"20,222",2742,"5,082","6,420",5040,938
중랑구,신내2동,외국인,89,2,50,28,9,0
중랑구,면목본동,계,"34,129","3,187","10,727","11,028","7,947",1240
중랑구,면목본동,한국인,"33,427",3124,"10,347","10,819","7,897",1240
중랑구,면목본동,외국인,702,63,380,209,50,0
중랑구,면목3.8동,계,"24,989",2379,"7,230","7,949",6417,1014
중랑구,면목3.8동,한국인,"24,591",2333,"7,017","7,837",6390,1014
중랑구,면목3.8동,외국인,398,46,213,112,27,0
중랑구,망우본동,계,"35,493","4,604","10,491","10,674","8,354",1370
중랑구,망우본동,한국인,"35,148","4,563","10,335","10,559","8,323",1368
