,출생비_k,사망비_k,혼인비_k,이혼비_k,지하철 수 ,대학 수,전입_s,전출_s,동,자치구
213,0.008055086,0.003248019,0.002013772,0.000909445,1,0,-0.920119371,-0.993719657,남가좌1동,서대문구
214,0.005286729,0.004949995,0.003266323,0.001751019,0,1,0.265258566,0.219983453,남가좌2동,서대문구
215,0.006590706,0.004859249,0.002289991,0.001172922,1,0,-0.827824466,-0.88600591,북가좌1동,서대문구
216,0.004494597,0.005801536,0.003060151,0.002167607,1,0,0.062320974,0.40271213,북가좌2동,서대문구
217,0.009289687,0.004234075,0.003728514,0.000947927,1,0,-0.585411342,-0.466050529,북아현동,서대문구
218,0.002733598,0.003379722,0.004075547,0.001093439,1,2,1.849839768,1.519601098,신촌동,서대문구
219,0.003966429,0.006064613,0.003937687,0.00140837,0,0,1.198215498,1.867106162,연희동,서대문구
220,0.006355184,0.006825939,0.004884077,0.00123573,0,1,-0.6732583,-0.661602271,천연동,서대문구
221,0.004133045,0.005953552,0.004133045,0.001131667,2,2,-0.228463577,-0.360260242,충현동,서대문구
222,0.004367583,0.006838135,0.003044073,0.001102925,0,0,-0.407493453,-0.545553532,홍은1동,서대문구
223,0.004096961,0.006145442,0.003565874,0.001403589,0,1,0.119588294,0.16227966,홍은2동,서대문구
224,0.005068575,0.004557458,0.003066701,0.001618537,2,1,-0.247923346,-0.146115055,홍제1동,서대문구
225,0.005220204,0.00624954,0.003896772,0.001617528,1,1,-1.020198184,-1.082839959,홍제2동,서대문구
226,0.003691101,0.006805467,0.002537632,0.001268816,1,0,-0.93791116,-1.052705756,홍제3동,서대문구
227,0.006602365,0.004707774,0.00367436,0.001722356,0,0,-0.494784417,-0.414758268,내곡동,서초구
228,0.004922542,0.002229622,0.002808745,0.001071377,4,0,2.365245653,1.195177552,반포1동,서초구
229,0.004946728,0.002092846,0.001204972,0.001014713,1,0,-0.771113139,-0.885364757,반포2동,서초구
230,0.005836576,0.002488463,0.001945525,0.000904895,1,0,-0.250147319,-0.35192525,반포3동,서초구
231,0.005745926,0.003447555,0.003343084,0.001253656,1,1,-0.234023511,-0.317944127,반포4동,서초구
232,0.044776119,0.035820896,0.040298507,0.008955224,2,0,-1.437749231,4.411202273,반포본동,서초구
233,0.005710886,0.003747769,0.00481856,0.001606187,2,0,-0.283506924,-0.257675721,방배1동,서초구
234,0.005775446,0.004927674,0.004079903,0.001377629,3,0,-0.127272777,0.205878081,방배2동,서초구
235,0.005446681,0.004378705,0.003097132,0.001174774,1,1,0.454296323,1.924809955,방배3동,서초구
236,0.005467749,0.003331909,0.003374626,0.00106792,2,0,0.191867437,0.190490403,방배4동,서초구
237,0.004083594,0.00379534,0.002402114,0.001249099,0,0,-0.144508573,-0.262163794,방배본동,서초구
238,0.005868089,0.004073715,0.005722599,0.001842871,1,1,0.21688714,0.373219081,서초1동,서초구
239,0.00456225,0.00207375,0.004185205,0.000867205,1,0,2.935138892,0.171896959,서초2동,서초구
240,0.004784984,0.003581021,0.005309789,0.001234835,2,0,1.614654558,1.382394302,서초3동,서초구
241,0.005150271,0.003194472,0.001825412,0.00088011,2,0,0.242462837,0.495038199,서초4동,서초구
242,0.005672534,0.003991783,0.003898408,0.001167188,0,0,1.055881187,1.972896449,양재1동,서초구
243,0.006093929,0.00416953,0.005727377,0.002199313,1,0,0.187975483,0.395018291,양재2동,서초구
244,0.005810684,0.003223993,0.002286785,0.000862231,3,0,0.038413257,0.807920987,잠원동,서초구
245,0.009921291,0.004365368,0.004233084,0.001455123,1,0,-0.955146956,-0.987308124,금호1가동,성동구
246,0.007953692,0.004816402,0.005346648,0.001546551,2,0,-0.446412991,-0.334614112,금호2.3가동,성동구
247,0.008955433,0.004967467,0.00405793,0.001539215,1,0,-0.845616255,-0.912293193,금호4가동,성동구
248,0.005139665,0.004513966,0.004290503,0.001608939,1,0,-0.242363412,-0.168555419,마장동,성동구
249,0.003399105,0.003399105,0.003564915,0.00132648,1,2,-0.167860296,-0.364107161,사근동,성동구
250,0.006608864,0.004971806,0.005032438,0.001818953,1,0,-0.121712843,-0.29486261,성수1가1동,성동구
251,0.005292278,0.003608371,0.003688557,0.001122604,1,0,-0.858960097,-0.699430313,성수1가2동,성동구
252,0.004529506,0.007272727,0.004976077,0.001913876,0,0,-0.67659426,-0.553247371,성수2가1동,성동구
253,0.00532362,0.004016064,0.004483048,0.001961334,1,0,-0.826712479,-0.850101328,성수2가3동,성동구
254,0.003817158,0.005248592,0.00458059,0.002099437,0,0,-1.053557788,-1.278391701,송정동,성동구
255,0.009455809,0.004631416,0.005326129,0.001312235,1,0,0.08289273,0.292433771,옥수동,성동구
256,0.009696896,0.005244862,0.004452034,0.001524669,1,0,-0.657690485,-0.634673835,왕십리2동,성동구
257,0.007474237,0.004680835,0.004152354,0.001585444,1,0,0.264702573,0.465545149,왕십리도선동,성동구
258,0.002852697,0.007261411,0.004149378,0.002593361,4,0,-0.704949924,-0.965508914,용답동,성동구
259,0.006144192,0.003725734,0.002876005,0.001634094,1,0,-0.931239239,-1.008466182,응봉동,성동구
260,0.007110537,0.004309416,0.003663004,0.001939237,1,0,-0.661026445,-0.855230554,행당1동,성동구
261,0.006902502,0.004529767,0.005306299,0.000992235,1,0,-0.592083263,-0.405782123,행당2동,성동구
262,0.005404169,0.003345438,0.002430446,0.00065765,1,0,0.03229733,0.381554073,길음1동,성북구
263,0.006199148,0.003341728,0.002954281,0.001452925,0,0,-0.463092793,-0.53529508,길음2동,성북구
264,0.00488241,0.004676111,0.003575849,0.001512859,0,0,-1.001294408,-1.001413496,돈암1동,성북구
265,0.004805058,0.004004215,0.002866175,0.001264489,0,0,-0.626554854,-0.441686705,돈암2동,성북구
266,0.003032454,0.004064778,0.003613136,0.001548487,1,1,0.061208987,-0.073664737,동선동,성북구
267,0.005321911,0.005451713,0.003894081,0.001817238,1,0,-0.586523329,-0.670578417,보문동,성북구
268,0.002972288,0.005813445,0.003409389,0.001879535,2,2,-0.081125325,0.046230921,삼선동,성북구
269,0.004631615,0.00660434,0.004116991,0.001515281,2,1,0.594406661,0.778427937,석관동,성북구
270,0.00430277,0.006363251,0.00430277,0.000909036,0,0,-0.530923989,-0.627621149,성북동,성북구
271,0.002435172,0.004409635,0.003159142,0.001777017,1,1,0.043973191,-0.110851626,안암동,성북구
272,0.005264162,0.004768262,0.002822811,0.001678428,0,0,-0.449748952,-0.469256295,월곡1동,성북구
273,0.003859216,0.005814552,0.003704847,0.001749511,2,0,-0.294626792,-0.280757238,월곡2동,성북구
274,0.002898071,0.00534073,0.003436284,0.001614639,0,0,1.89265126,-0.703277233,장위1동,성북구
275,0.002993356,0.007300869,0.004745565,0.001168139,1,0,-0.783900987,-1.118744541,장위2동,성북구
276,0.009462721,0.005842754,0.003492951,0.002349803,0,0,-0.569843527,0.043025155,장위3동,성북구
277,0.004971826,0.003922219,0.003590763,0.001602033,1,0,-0.574291474,-0.576328888,정릉1동,성북구
278,0.005191746,0.005671655,0.003402993,0.001570612,1,0,-0.378581796,-0.401935203,정릉2동,성북구
279,0.004387976,0.006549217,0.00451896,0.001309843,0,2,-0.565951573,-0.61800385,정릉3동,성북구
280,0.005415235,0.006021418,0.002909679,0.001858961,1,0,-0.397485572,-0.292297997,정릉4동,성북구
281,0.004906287,0.005814859,0.002985307,0.001323919,1,0,0.407036884,0.681613796,종암동,성북구
282,0.011884798,0.002406125,0.00419249,0.001239519,2,0,1.372797427,1.894675752,가락1동,송파구
283,0.005697199,0.002990242,0.003399433,0.001133144,3,0,0.480428013,0.900888208,가락2동,송파구
284,0.007335151,0.003264334,0.00468528,0.001459349,3,0,0.343097643,0.777786784,가락본동,송파구
285,0.003876908,0.00371537,0.004280753,0.002019223,1,0,-0.928459272,-0.981537745,거여1동,송파구
286,0.004179682,0.003783712,0.003827709,0.001627876,1,0,-0.564283593,-0.552606218,거여2동,송파구
287,0.002665529,0.008103209,0.002132423,0.002612219,1,0,-0.682710188,-0.562223517,마천1동,송파구
288,0.003252914,0.006993765,0.003090268,0.001897533,0,0,-0.669366346,-0.548118145,마천2동,송파구
289,0.006319591,0.003861972,0.004513993,0.00155482,1,0,-0.263491161,-0.031348623,문정1동,송파구
290,0.006342055,0.002807139,0.007762953,0.001594178,4,0,1.652462109,2.079327889,문정2동,송파구
291,0.004045204,0.003595736,0.004045204,0.001797868,1,0,-0.664918399,-0.621850769,방이1동,송파구
292,0.005372683,0.003556565,0.006091563,0.00189179,3,0,1.649126149,1.548452995,방이2동,송파구
293,0.005485919,0.003590784,0.005851647,0.001795392,2,0,0.934674625,1.633726378,삼전동,송파구
294,0.005946135,0.002988966,0.00664568,0.001526281,2,0,1.123712382,1.719640914,석촌동,송파구
295,0.007351088,0.003402504,0.006636982,0.001302193,2,0,0.568274971,1.086822652,송파1동,송파구
296,0.00496732,0.004026144,0.002718954,0.00130719,1,0,-0.552051738,0.157791587,송파2동,송파구
297,0.005478949,0.004587637,0.003014733,0.001494259,3,0,0.889639159,1.544606075,오금동,송파구
298,0.002566105,0.00262189,0.001450407,0.000948343,3,1,-0.843392282,-0.871900538,오륜동,송파구
299,0.006952792,0.001296283,0.001673384,0.000730632,1,0,5.451565039,0.627756922,위례동,송파구
300,0.004845322,0.002006938,0.001834915,0.000659423,2,0,0.445956422,0.901529362,잠실2동,송파구
301,0.004968291,0.002747172,0.001695064,0.00116901,2,0,0.569386958,1.056047296,잠실3동,송파구
302,0.005306161,0.002441773,0.001878287,0.000422615,2,0,-0.503124318,-0.575687735,잠실4동,송파구
303,0.005672658,0.002627336,0.003343882,0.000955395,2,0,-0.701613964,-0.757134106,잠실6동,송파구
304,0.003571053,0.004411301,0.001890558,0.001155341,1,0,-1.313206708,-1.506001107,잠실7동,송파구
305,0.005126551,0.00376425,0.00469635,0.0018642,2,0,1.103140626,1.445227321,잠실본동,송파구
306,0.007163324,0.004229772,0.004604994,0.001705553,2,0,0.599966595,0.988085051,장지동,송파구
307,0.005962187,0.005413038,0.003922492,0.002039696,1,0,-1.06856961,-0.816761359,풍납1동,송파구
308,0.005833975,0.003889317,0.003848803,0.000972329,1,0,-0.042205786,0.237294591,풍납2동,송파구
309,0.003273108,0.002651218,0.002749411,0.00121105,2,0,-0.002730255,0.355907943,목1동,양천구
310,0.005967347,0.004056455,0.004827517,0.001408026,2,0,0.473756093,0.689307635,목2동,양천구
311,0.007177471,0.004708787,0.004891652,0.001462924,1,0,-0.099473107,0.119322392,목3동,양천구
312,0.00261231,0.003878884,0.002374827,0.001662379,0,0,-0.194547979,-0.074305891,목4동,양천구
313,0.002388962,0.002583979,0.001267613,0.00051192,1,0,0.411484831,0.921405113,목5동,양천구
314,0.003922145,0.006128352,0.004608521,0.002598421,0,0,-0.533703956,-0.546835839,신월1동,양천구
315,0.004864996,0.005643396,0.003356847,0.002091948,0,0,-0.629334821,-0.519907402,신월2동,양천구
316,0.004437968,0.007683646,0.003444393,0.003709346,0,0,-0.785568968,-0.787909462,신월3동,양천구
317,0.004773672,0.004549028,0.002358755,0.001797147,0,0,-0.973494738,-1.016801174,신월4동,양천구
318,0.005763689,0.004734459,0.003430767,0.002127076,0,0,-0.827268473,-0.886647063,신월5동,양천구
319,0.006005354,0.002242964,0.005281818,0.001230012,0,0,-0.966266824,-1.342507027,신월6동,양천구
320,0.003673469,0.00744898,0.003571429,0.001938776,0,0,-0.62099492,-0.465409375,신월7동,양천구
321,0.00306521,0.003707915,0.00173036,0.001186533,1,0,-0.531479982,-0.45643323,신정1동,양천구
322,0.001854236,0.004429565,0.00149369,0.000927118,0,0,-0.7238537,-0.747516807,신정2동,양천구
323,0.005107968,0.003745844,0.003024719,0.0016025,1,0,2.847847928,1.054123836,신정3동,양천구
324,0.004414809,0.005236877,0.00341006,0.001644136,2,0,0.673913718,1.031683472,신정4동,양천구
325,0.003509058,0.002774604,0.002529786,0.000775257,0,0,-0.340218251,-0.247417269,신정6동,양천구
326,0.004190621,0.004848653,0.002528226,0.001523862,1,0,-0.020522044,0.277046092,신정7동,양천구
327,0.006623491,0.004170346,0.007604749,0.001913453,1,0,0.141272037,0.226394985,당산1동,영등포구
328,0.006809778,0.003378289,0.00497433,0.001303434,1,0,1.803136322,1.878646921,당산2동,영등포구
329,0.002979284,0.004780711,0.003949283,0.00159357,0,0,-0.933463213,-1.069375741,대림1동,영등포구
330,0.003352892,0.004191115,0.003520536,0.00217938,2,0,-0.946251061,-0.989231584,대림2동,영등포구
331,0.005623285,0.004768546,0.004408655,0.001079671,2,0,-0.476992628,-0.328202579,대림3동,영등포구
332,0.006183597,0.005509022,0.006577098,0.001517792,0,0,-0.391925638,-0.371801,도림동,영등포구
333,0.00835997,0.003626752,0.006085567,0.001167937,1,0,0.171851674,0.352702176,문래동,영등포구
334,0.003683241,0.007366483,0.005639963,0.001841621,1,0,0.028961369,-0.18650771,신길1동,영등포구
335,0.00495199,0.005676671,0.003140286,0.001207802,0,0,-0.687714128,-0.811632133,신길3동,영등포구
336,0.002264273,0.00493288,0.004205078,0.000808669,0,0,-0.929015266,-1.421368877,신길4동,영등포구
337,0.005259635,0.006120302,0.005929043,0.001434446,1,0,-1.142516733,-1.180936407,신길5동,영등포구
338,0.00509026,0.004670445,0.005352645,0.00152183,2,0,0.42427268,-0.389112138,신길6동,영등포구
339,0.00777605,0.002709075,0.003963277,0.000953193,2,0,0.046197165,0.071235898,신길7동,영등포구
340,0.009433448,0.004362288,0.008670047,0.001363215,1,0,0.389245095,-0.244852656,양평1동,영등포구
341,0.009081509,0.003416805,0.007687812,0.001393697,1,0,0.106800446,0.008402879,양평2동,영등포구
342,0.005813069,0.004047844,0.003286971,0.001308701,4,0,0.278046414,0.636091915,여의동,영등포구
343,0.005437923,0.005947728,0.008564728,0.001869286,1,0,2.639906395,1.962637997,영등포동,영등포구
344,0.005084985,0.006544564,0.004237488,0.001647912,2,0,-0.243475399,-0.358977935,영등포본동,영등포구
345,0.002176575,0.011427017,0.003536934,0.003536934,1,0,-0.867299998,-1.200812158,남영동,용산구
346,0.002699258,0.006898103,0.004048887,0.001649546,0,1,-0.766665192,-0.741746428,보광동,용산구
347,0.004308687,0.004770332,0.002385166,0.001384935,1,0,-0.640454689,-0.85843632,서빙고동,용산구
348,0.005161618,0.004823151,0.004230834,0.001353867,1,0,-0.946807055,-1.005260415,용문동,용산구
349,0.003191829,0.005319715,0.006383658,0.000957549,1,0,-1.17309637,-1.314937437,용산2가동,용산구
350,0.008685871,0.004124227,0.006123852,0.001374742,1,0,-0.088909232,-0.199971928,원효로1동,용산구
351,0.005977112,0.004592171,0.004737955,0.001239157,0,0,-0.819484565,-0.955250461,원효로2동,용산구
352,0.006873786,0.00431068,0.003067961,0.000854369,1,0,-0.424173255,0.633527302,이촌1동,용산구
353,0.010191701,0.006551808,0.004246542,0.001455957,0,0,-1.22535975,-1.343789333,이촌2동,용산구
354,0.002684776,0.007580543,0.005211623,0.001263424,1,0,-1.161420509,-1.42778041,이태원1동,용산구
355,0.003017771,0.005923773,0.003911926,0.001117693,0,0,-1.074685538,-1.34314818,이태원2동,용산구
356,0.003186186,0.005601521,0.004059818,0.001593093,0,1,0.037857264,-0.062123979,청파동,용산구
357,0.005355,0.00304681,0.005816637,0.002077371,4,0,1.258262786,0.218059993,한강로동,용산구
358,0.005509371,0.004525555,0.005066654,0.002016823,2,0,-0.107257015,0.003914806,한남동,용산구
359,0.007654836,0.003777712,0.004970673,0.001690029,1,0,-0.95903891,-1.1796541,효창동,용산구
360,0.005010438,0.005964808,0.004235013,0.002147331,0,0,-0.704393931,-0.646855746,후암동,용산구
361,0.003615798,0.00769516,0.003754867,0.001854256,1,0,-0.420281301,0.098805488,갈현1동,은평구
362,0.003808642,0.006051114,0.003132341,0.00163736,1,0,0.146275978,0.340520265,갈현2동,은평구
363,0.003427325,0.008381368,0.002928805,0.001526718,1,0,0.50266775,0.497602812,구산동,은평구
364,0.006503932,0.005850818,0.004408523,0.001496721,2,0,1.098136685,1.370853544,녹번동,은평구
365,0.003572093,0.005134884,0.004613953,0.00212093,3,0,0.546591229,0.654685359,대조동,은평구
366,0.004760171,0.005358443,0.003251483,0.001690771,3,0,0.746192861,1.242622893,불광1동,은평구
367,0.003358032,0.006606563,0.002993028,0.00208052,1,0,0.106800446,0.43220518,불광2동,은평구
368,0.002958131,0.004399272,0.003944175,0.001668689,1,0,-0.296850765,-1.488048815,수색동,은평구
369,0.005237352,0.006203105,0.003342991,0.001931506,1,1,0.014505541,0.080212044,신사1동,은평구
370,0.003461596,0.005217479,0.003010084,0.001454874,1,0,-0.523696074,-0.492337812,신사2동,은평구
371,0.004109135,0.005257926,0.003402187,0.002010383,2,0,1.39448117,1.951097238,역촌동,은평구
372,0.004758153,0.004182325,0.004273245,0.001424415,2,0,1.683041746,0.418099808,응암1동,은평구
373,0.009262888,0.003491396,0.003277637,0.001460686,0,0,0.120144288,-0.169837725,응암2동,은평구
374,0.003497367,0.007200461,0.003332785,0.002221856,1,0,-0.048321714,0.157150434,응암3동,은평구
375,0.005010689,0.006012827,0.002805986,0.001937467,1,0,-0.877863873,-0.971920446,증산동,은평구
376,0.004097917,0.003791024,0.002202405,0.001317832,1,0,1.300518284,2.008159878,진관동,은평구
377,0.00197775,0.005191595,0.002224969,0.001730532,0,0,-1.578415562,-1.882358067,가회동,종로구
378,0.007608369,0.005105616,0.003503854,0.001501652,0,0,-0.9851706,-1.07706958,교남동,종로구
379,0.004750305,0.002923264,0.002070646,0.000365408,1,0,-1.35268224,-1.627179071,무악동,종로구
380,0.002213322,0.004742833,0.00368887,0.000737774,0,1,-1.257607368,-1.42201003,부암동,종로구
381,0.00298826,0.004909285,0.004482391,0.001707577,0,0,-0.917895398,-1.229664054,사직동,종로구
382,0.003687014,0.009832036,0.00450635,0.002458009,0,0,-1.687390269,-2.049057913,삼청동,종로구
383,0.004792059,0.007016943,0.003080609,0.00136916,2,0,-1.387153831,-1.668854033,숭인1동,종로구
384,0.002887491,0.006806229,0.003918738,0.001649995,2,0,-0.627110847,-1.011030795,숭인2동,종로구
385,0.003874896,0.008718516,0.00484362,0.000968724,0,2,-1.121388984,-1.338018954,이화동,종로구
386,0.001937716,0.011211073,0.003875433,0.002906574,4,1,-0.8333844,-1.180295254,종로1.2.3.4가동,종로구
387,0.001574803,0.007874016,0.003149606,0.002755906,2,0,-1.22535975,-1.551522988,종로5.6가동,종로구
388,0.002241239,0.007334963,0.00407498,0.002648737,1,0,-1.461100954,-1.782338159,창신1동,종로구
389,0.003305365,0.00877193,0.002669718,0.002034071,0,0,-1.456653006,-1.692576703,창신2동,종로구
390,0.005527407,0.004606172,0.004606172,0.001228313,1,0,-1.443309165,-1.672700953,창신3동,종로구
391,0.004788306,0.00453629,0.002604167,0.001344086,0,1,-1.073573551,-1.228381748,청운효자동,종로구
392,0.003925471,0.005749986,0.002543263,0.001161055,0,0,-0.610431045,-0.812914439,평창동,종로구
393,0.002502594,0.004394799,0.002807789,0.000610389,1,0,-0.176200197,-0.207665767,혜화동,종로구
394,0.002860412,0.006102212,0.006674294,0.003432494,1,0,-1.190332166,-1.63871983,광희동,중구
395,0.004809444,0.004372222,0.004590833,0.002113241,3,0,-0.761105258,-0.821249431,다산동,중구
396,0.006654271,0.005284274,0.002250709,0.001174283,1,0,-1.267059256,-1.434833095,동화동,중구
397,0.002457002,0.005616006,0.002106002,0.002457002,2,0,-1.505024432,-1.930444561,명동,중구
398,0.007104796,0.002664298,0.004884547,0.002220249,1,0,-1.457764993,-1.970196062,소공동,중구
399,0.005144133,0.005920606,0.00436766,0.0021353,1,0,-0.974606725,-1.242487119,신당5동,중구
400,0.004156924,0.006625097,0.006625097,0.003507405,4,0,-0.95903891,-1.306602445,신당동,중구
401,0.005409304,0.006070441,0.00390672,0.001622791,2,0,-0.592083263,-0.665449191,약수동,중구
402,0.004009164,0.009736541,0.006872852,0.001145475,2,0,-1.545611951,-1.93621494,을지로동,중구
403,0.002821181,0.005642361,0.004557292,0.001736111,1,0,-1.309870748,-1.645772516,장충동,중구
404,0.010949515,0.006352391,0.005850886,0.001420929,1,0,-0.848396222,-0.909087427,중림동,중구
405,0.005916722,0.006508394,0.005620886,0.000887508,1,0,-1.009078316,-1.091174951,청구동,중구
406,0.00222607,0.005441504,0.004204798,0.001978729,1,2,-1.349902273,-1.751562803,필동,중구
407,0.007288283,0.004357126,0.006337638,0.002297394,1,0,-0.51813614,-0.798167914,황학동,중구
408,0.002319696,0.012231126,0.003163222,0.002108815,2,0,-1.467772874,-1.809266596,회현동,중구
409,0.004071561,0.006785935,0.003701419,0.003516348,0,0,-0.684934161,-0.547476992,망우3동,중랑구
410,0.003499488,0.005690224,0.003499488,0.001934676,2,0,1.731969166,0.539277773,망우본동,중랑구
411,0.004399253,0.00643287,0.006598879,0.002822162,0,0,-0.27961497,-0.08199973,면목2동,중랑구
412,0.00361921,0.005042495,0.003253223,0.001911268,1,1,0.077888789,0.296921843,면목3.8동,중랑구
413,0.004593938,0.005280389,0.003696272,0.00190094,1,0,-0.231243544,-0.589151953,면목4동,중랑구
414,0.004581284,0.003638079,0.003907566,0.001414808,0,0,-0.778897047,-1.235434433,면목5동,중랑구
415,0.00575692,0.005572698,0.003960761,0.002210657,1,0,-0.305190666,-0.173043492,면목7동,중랑구
416,0.004906214,0.005833608,0.004188231,0.001944536,1,0,0.710609283,1.195818705,면목본동,중랑구
417,0.004505421,0.004912362,0.003546202,0.001453362,3,0,0.396473009,0.848313642,묵1동,중랑구
418,0.005209172,0.005585092,0.004081413,0.002362924,2,0,-0.524252068,-0.378853686,묵2동,중랑구
419,0.00544457,0.005653977,0.00510952,0.002177828,1,0,-0.257375234,-0.012755178,상봉1동,중랑구
420,0.006222222,0.004740741,0.007901235,0.00217284,0,0,0.611642457,0.283457625,상봉2동,중랑구
421,0.004767984,0.006487585,0.002475183,0.001276673,2,0,0.212439193,0.719441838,신내1동,중랑구
422,0.006527544,0.006873702,0.003659381,0.001928593,1,0,-0.642122669,-0.438480939,신내2동,중랑구
423,0.006719672,0.006052834,0.00502693,0.001744037,1,0,-0.399153552,-0.275628012,중화1동,중랑구
424,0.003665069,0.007088485,0.003826171,0.001973499,2,0,0.070660875,0.212930767,중화2동,중랑구
