기간,자치구,동,혼인,이혼
2021,종로구,사직동,42,16
2021,종로구,삼청동,11,6
2021,종로구,부암동,35,7
2021,종로구,평창동,46,21
2021,종로구,무악동,17,3
2021,종로구,교남동,35,15
2021,종로구,가회동,9,7
2021,종로구,종로1.2.3.4가동,28,21
2021,종로구,종로5·6가동,16,14
2021,종로구,이화동,35,7
2021,종로구,창신1동,20,13
2021,종로구,창신2동,21,16
2021,종로구,창신3동,30,8
2021,종로구,숭인1동,18,8
2021,종로구,숭인2동,38,16
2021,종로구,청운효자동,31,16
2021,종로구,혜화동,46,10
2021,중구,소공동,11,5
2021,중구,회현동,15,10
2021,중구,명동,6,7
2021,중구,필동,17,8
2021,중구,장충동,21,8
2021,중구,광희동,35,18
2021,중구,을지로동,12,2
2021,중구,신당5동,45,22
2021,중구,황학동,80,29
2021,중구,중림동,70,17
2021,중구,신당동,51,27
2021,중구,다산동,63,29
2021,중구,약수동,65,27
2021,중구,청구동,76,12
2021,중구,동화동,23,12
2021,용산구,후암동,71,36
2021,용산구,용산2가동,60,9
2021,용산구,남영동,26,26
2021,용산구,원효로2동,65,17
2021,용산구,효창동,50,17
2021,용산구,용문동,50,16
2021,용산구,이촌1동,79,22
2021,용산구,이촌2동,35,12
2021,용산구,이태원1동,33,8
2021,용산구,이태원2동,35,10
2021,용산구,서빙고동,31,18
2021,용산구,보광동,54,22
2021,용산구,청파동,79,31
2021,용산구,원효로1동,98,22
2021,용산구,한강로동,126,45
2021,용산구,한남동,103,41
2021,성동구,왕십리2동,73,25
2021,성동구,마장동,96,36
2021,성동구,사근동,43,16
2021,성동구,행당1동,51,27
2021,성동구,행당2동,123,23
2021,성동구,응봉동,44,25
2021,성동구,금호1가동,64,22
2021,성동구,금호4가동,58,22
2021,성동구,성수1가1동,83,30
2021,성동구,성수1가2동,46,14
2021,성동구,성수2가1동,78,30
2021,성동구,성수2가3동,48,21
2021,성동구,송정동,48,22
2021,성동구,용답동,48,30
2021,성동구,왕십리도선동,110,42
2021,성동구,금호2.3가동,121,35
2021,성동구,옥수동,138,34
2021,광진구,화양동,94,27
2021,광진구,군자동,93,31
2021,광진구,중곡1동,102,32
2021,광진구,중곡2동,95,44
2021,광진구,중곡3동,74,30
2021,광진구,중곡4동,105,50
2021,광진구,능동,66,24
2021,광진구,구의1동,125,33
2021,광진구,구의2동,94,47
2021,광진구,구의3동,117,46
2021,광진구,광장동,78,27
2021,광진구,자양1동,102,42
2021,광진구,자양2동,89,39
2021,광진구,자양3동,99,26
2021,광진구,자양4동,66,25
2021,동대문구,회기동,34,10
2021,동대문구,휘경1동,46,18
2021,동대문구,휘경2동,59,42
2021,동대문구,청량리동,49,46
2021,동대문구,용신동,172,63
2021,동대문구,제기동,79,31
2021,동대문구,전농1동,139,58
2021,동대문구,전농2동,41,23
2021,동대문구,답십리2동,113,34
2021,동대문구,장안1동,163,72
2021,동대문구,장안2동,100,73
2021,동대문구,이문1동,44,19
2021,동대문구,이문2동,51,24
2021,동대문구,답십리1동,138,42
2021,중랑구,면목2동,159,68
2021,중랑구,면목4동,70,36
2021,중랑구,면목5동,58,21
2021,중랑구,면목7동,86,48
2021,중랑구,상봉1동,122,52
2021,중랑구,상봉2동,160,44
2021,중랑구,중화1동,98,34
2021,중랑구,중화2동,95,49
2021,중랑구,묵1동,122,50
2021,중랑구,묵2동,76,44
2021,중랑구,망우3동,60,57
2021,중랑구,신내1동,95,49
2021,중랑구,신내2동,74,39
2021,중랑구,면목본동,140,65
2021,중랑구,면목3.8동,80,47
2021,중랑구,망우본동,123,68
2021,성북구,돈암1동,52,22
2021,성북구,돈암2동,68,30
2021,성북구,안암동,48,27
2021,성북구,보문동,60,28
2021,성북구,정릉1동,65,29
2021,성북구,정릉2동,78,36
2021,성북구,정릉3동,69,20
2021,성북구,정릉4동,72,46
2021,성북구,길음1동,85,23
2021,성북구,길음2동,61,30
2021,성북구,월곡1동,74,44
2021,성북구,월곡2동,72,34
2021,성북구,장위1동,83,39
2021,성북구,장위2동,65,16
2021,성북구,장위3동,55,37
2021,성북구,성북동,71,15
2021,성북구,삼선동,78,43
2021,성북구,동선동,56,24
2021,성북구,종암동,115,51
2021,성북구,석관동,144,53
2021,강북구,번1동,69,47
2021,강북구,번2동,45,22
2021,강북구,번3동,45,33
2021,강북구,수유1동,66,48
2021,강북구,수유2동,55,45
2021,강북구,수유3동,87,55
2021,강북구,삼양동,80,45
2021,강북구,미아동,64,46
2021,강북구,송중동,94,64
2021,강북구,송천동,61,57
2021,강북구,삼각산동,60,29
2021,강북구,우이동,79,53
2021,강북구,인수동,86,83
2021,도봉구,쌍문1동,65,44
2021,도봉구,쌍문2동,64,52
2021,도봉구,쌍문3동,56,29
2021,도봉구,쌍문4동,48,41
2021,도봉구,방학1동,76,59
2021,도봉구,방학2동,62,51
2021,도봉구,방학3동,75,34
2021,도봉구,창1동,72,41
2021,도봉구,창2동,101,55
2021,도봉구,창3동,40,34
2021,도봉구,창4동,80,30
2021,도봉구,창5동,90,35
2021,도봉구,도봉1동,53,48
2021,도봉구,도봉2동,81,58
2021,노원구,월계1동,62,43
2021,노원구,월계2동,79,45
2021,노원구,월계3동,126,43
2021,노원구,공릉2동,129,40
2021,노원구,하계1동,67,36
2021,노원구,하계2동,63,27
2021,노원구,중계본동,29,30
2021,노원구,중계1동,28,24
2021,노원구,중계4동,50,33
2021,노원구,상계1동,121,62
2021,노원구,상계2동,47,31
2021,노원구,상계5동,65,55
2021,노원구,상계8동,286,26
2021,노원구,상계9동,77,29
2021,노원구,상계10동,89,22
2021,노원구,상계3.4동,69,62
2021,노원구,상계6.7동,145,51
2021,노원구,중계2.3동,126,45
2021,노원구,공릉1동,107,78
2021,은평구,녹번동,162,55
2021,은평구,불광1동,125,65
2021,은평구,갈현1동,81,40
2021,은평구,갈현2동,88,46
2021,은평구,구산동,94,49
2021,은평구,대조동,124,57
2021,은평구,응암1동,141,47
2021,은평구,응암2동,92,41
2021,은평구,신사1동,90,52
2021,은평구,신사2동,60,29
2021,은평구,증산동,42,29
2021,은평구,수색동,52,22
2021,은평구,진관동,122,73
2021,은평구,불광2동,82,57
2021,은평구,응암3동,81,54
2021,은평구,역촌동,154,91
2021,서대문구,천연동,83,21
2021,서대문구,홍제1동,72,38
2021,서대문구,홍제3동,44,22
2021,서대문구,홍제2동,53,22
2021,서대문구,홍은1동,69,25
2021,서대문구,홍은2동,94,37
2021,서대문구,남가좌1동,31,14
2021,서대문구,남가좌2동,97,52
2021,서대문구,북가좌1동,41,21
2021,서대문구,북가좌2동,96,68
2021,서대문구,충현동,84,23
2021,서대문구,북아현동,59,15
2021,서대문구,신촌동,82,22
2021,서대문구,연희동,137,49
2021,마포구,용강동,90,32
2021,마포구,대흥동,75,16
2021,마포구,염리동,69,20
2021,마포구,신수동,96,36
2021,마포구,서교동,112,33
2021,마포구,합정동,93,19
2021,마포구,망원1동,87,29
2021,마포구,망원2동,72,35
2021,마포구,연남동,80,20
2021,마포구,성산1동,83,34
2021,마포구,성산2동,146,55
2021,마포구,상암동,81,56
2021,마포구,도화동,110,31
2021,마포구,서강동,78,29
2021,마포구,공덕동,158,54
2021,마포구,아현동,148,28
2021,양천구,목1동,84,37
2021,양천구,목2동,144,42
2021,양천구,목3동,107,32
2021,양천구,목4동,60,42
2021,양천구,신월1동,94,53
2021,양천구,신월2동,69,43
2021,양천구,신월3동,52,56
2021,양천구,신월4동,42,32
2021,양천구,신월5동,50,31
2021,양천구,신월6동,73,17
2021,양천구,신월7동,70,38
2021,양천구,신정1동,35,24
2021,양천구,신정2동,29,18
2021,양천구,신정3동,151,80
2021,양천구,신정6동,62,19
2021,양천구,신정7동,73,44
2021,양천구,목5동,52,21
2021,양천구,신정4동,112,54
2021,강서구,염창동,198,39
2021,강서구,등촌1동,210,48
2021,강서구,등촌2동,78,37
2021,강서구,등촌3동,137,44
2021,강서구,화곡본동,119,72
2021,강서구,화곡2동,60,32
2021,강서구,화곡3동,53,25
2021,강서구,화곡4동,54,43
2021,강서구,화곡6동,79,38
2021,강서구,화곡8동,84,38
2021,강서구,가양1동,232,40
2021,강서구,가양2동,67,28
2021,강서구,가양3동,139,24
2021,강서구,발산1동,92,54
2021,강서구,공항동,138,62
2021,강서구,방화1동,150,64
2021,강서구,방화2동,104,47
2021,강서구,방화3동,98,46
2021,강서구,화곡1동,476,140
2021,강서구,우장산동,101,52
2021,구로구,신도림동,168,51
2021,구로구,구로1동,173,36
2021,구로구,구로3동,122,44
2021,구로구,구로4동,88,42
2021,구로구,구로5동,144,30
2021,구로구,고척1동,68,39
2021,구로구,고척2동,48,43
2021,구로구,개봉2동,101,46
2021,구로구,개봉3동,56,38
2021,구로구,오류1동,130,48
2021,구로구,수궁동,103,28
2021,구로구,가리봉동,45,19
2021,구로구,구로2동,100,50
2021,구로구,개봉1동,148,58
2021,구로구,오류2동,115,68
2021,구로구,항동,62,18
2021,금천구,가산동,167,45
2021,금천구,독산1동,284,84
2021,금천구,독산2동,76,41
2021,금천구,독산3동,95,53
2021,금천구,독산4동,55,29
2021,금천구,시흥1동,134,71
2021,금천구,시흥2동,64,20
2021,금천구,시흥3동,35,22
2021,금천구,시흥4동,76,48
2021,금천구,시흥5동,75,47
2021,영등포구,여의동,108,43
2021,영등포구,당산1동,155,39
2021,영등포구,당산2동,187,49
2021,영등포구,양평1동,159,25
2021,영등포구,양평2동,171,31
2021,영등포구,신길1동,98,32
2021,영등포구,신길3동,52,20
2021,영등포구,신길4동,52,10
2021,영등포구,신길5동,62,15
2021,영등포구,신길6동,102,29
2021,영등포구,신길7동,79,19
2021,영등포구,대림1동,57,23
2021,영등포구,대림2동,42,26
2021,영등포구,대림3동,98,24
2021,영등포구,영등포본동,90,35
2021,영등포구,영등포동,252,55
2021,영등포구,도림동,117,27
2021,영등포구,문래동,198,38
2021,동작구,노량진2동,35,18
2021,동작구,상도1동,164,46
2021,동작구,상도2동,93,29
2021,동작구,상도3동,108,39
2021,동작구,상도4동,96,48
2021,동작구,사당1동,149,44
2021,동작구,사당3동,89,26
2021,동작구,사당4동,66,19
2021,동작구,사당5동,103,21
2021,동작구,대방동,139,46
2021,동작구,신대방1동,90,29
2021,동작구,신대방2동,68,21
2021,동작구,흑석동,109,35
2021,동작구,노량진1동,127,35
2021,동작구,사당2동,132,37
2021,관악구,보라매동,163,40
2021,관악구,청림동,78,15
2021,관악구,행운동,118,26
2021,관악구,낙성대동,80,19
2021,관악구,중앙동,63,15
2021,관악구,인헌동,106,28
2021,관악구,남현동,119,33
2021,관악구,서원동,217,40
2021,관악구,신원동,67,38
2021,관악구,서림동,115,39
2021,관악구,신사동,84,37
2021,관악구,신림동,126,36
2021,관악구,난향동,34,24
2021,관악구,조원동,64,38
2021,관악구,대학동,101,36
2021,관악구,은천동,127,52
2021,관악구,성현동,79,36
2021,관악구,청룡동,154,44
2021,관악구,난곡동,78,54
2021,관악구,삼성동,55,37
2021,관악구,미성동,82,54
2021,서초구,서초1동,118,38
2021,서초구,서초2동,111,23
2021,서초구,서초3동,172,40
2021,서초구,서초4동,56,27
2021,서초구,잠원동,61,23
2021,서초구,반포본동,27,6
2021,서초구,반포1동,97,37
2021,서초구,반포2동,19,16
2021,서초구,반포3동,43,20
2021,서초구,반포4동,64,24
2021,서초구,방배본동,50,26
2021,서초구,방배1동,81,27
2021,서초구,방배2동,77,26
2021,서초구,방배3동,58,22
2021,서초구,방배4동,79,25
2021,서초구,양재1동,167,50
2021,서초구,양재2동,125,48
2021,서초구,내곡동,64,30
2021,강남구,신사동,57,17
2021,강남구,논현1동,112,45
2021,강남구,논현2동,87,40
2021,강남구,삼성1동,43,26
2021,강남구,삼성2동,100,53
2021,강남구,대치1동,27,16
2021,강남구,대치4동,53,31
2021,강남구,역삼1동,204,88
2021,강남구,역삼2동,81,34
2021,강남구,도곡1동,68,15
2021,강남구,도곡2동,63,35
2021,강남구,개포1동,12,13
2021,강남구,개포4동,91,41
2021,강남구,일원본동,53,20
2021,강남구,일원1동,65,22
2021,강남구,일원2동,80,22
2021,강남구,수서동,88,28
2021,강남구,세곡동,160,68
2021,강남구,압구정동,59,36
2021,강남구,청담동,65,21
2021,강남구,대치2동,51,38
2021,강남구,개포2동,61,28
2021,송파구,풍납1동,50,26
2021,송파구,풍납2동,95,24
2021,송파구,거여1동,53,25
2021,송파구,거여2동,87,37
2021,송파구,마천1동,40,49
2021,송파구,마천2동,57,35
2021,송파구,방이1동,63,28
2021,송파구,방이2동,161,50
2021,송파구,오륜동,26,17
2021,송파구,오금동,115,57
2021,송파구,송파1동,158,31
2021,송파구,송파2동,52,25
2021,송파구,석촌동,209,48
2021,송파구,삼전동,176,54
2021,송파구,가락본동,122,38
2021,송파구,가락1동,115,34
2021,송파구,가락2동,108,36
2021,송파구,문정1동,90,31
2021,송파구,문정2동,224,46
2021,송파구,잠실본동,131,52
2021,송파구,잠실4동,40,9
2021,송파구,잠실6동,56,16
2021,송파구,잠실7동,18,11
2021,송파구,잠실2동,64,23
2021,송파구,잠실3동,58,40
2021,송파구,장지동,135,50
2021,송파구,위례동,71,31
2021,강동구,명일1동,130,31
2021,강동구,명일2동,32,15
2021,강동구,고덕1동,73,30
2021,강동구,고덕2동,71,29
2021,강동구,암사2동,75,22
2021,강동구,암사3동,46,13
2021,강동구,천호1동,197,75
2021,강동구,천호3동,117,49
2021,강동구,성내1동,67,28
2021,강동구,성내2동,99,47
2021,강동구,성내3동,79,29
2021,강동구,둔촌1동,19,2
2021,강동구,둔촌2동,82,29
2021,강동구,암사1동,173,90
2021,강동구,천호2동,234,72
2021,강동구,길동,216,72
2021,강동구,강일동,84,59
2021,강동구,상일1동,87,27
2021,강동구,상일2동,11,10
